Statistic,Year,Age_Group,Sex,Education_Level,Region,UNIT,Employment_Rate
Annual employment rate,2022,50 - 54 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,100.0
Annual employment rate,2022,50 - 54 years,Male,Tertiary education (Levels 5-8),Southern,%,94.2
Annual employment rate,2022,50 - 54 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,98.4
Annual employment rate,2022,50 - 54 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,50 - 54 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,50 - 54 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,63.2
Annual employment rate,2022,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,68.0
Annual employment rate,2022,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,75.5
Annual employment rate,2022,50 - 54 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,84.2
Annual employment rate,2022,50 - 54 years,Female,Tertiary education (Levels 5-8),Southern,%,81.4
Annual employment rate,2022,50 - 54 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,82.3
Annual employment rate,2022,55 - 59 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,55 - 59 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,55 - 59 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,79.6
Annual employment rate,2022,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,70.5
Annual employment rate,2022,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,63.8
Annual employment rate,2022,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,73.6
Annual employment rate,2022,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,80.5
Annual employment rate,2022,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,83.9
Annual employment rate,2022,55 - 59 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,97.7
Annual employment rate,2022,55 - 59 years,Male,Tertiary education (Levels 5-8),Southern,%,82.7
Annual employment rate,2022,55 - 59 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,94.9
Annual employment rate,2022,55 - 59 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,55 - 59 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,55 - 59 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,64.9
Annual employment rate,2022,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,65.3
Annual employment rate,2022,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,63.2
Annual employment rate,2022,55 - 59 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,85.0
Annual employment rate,2022,55 - 59 years,Female,Tertiary education (Levels 5-8),Southern,%,79.6
Annual employment rate,2022,55 - 59 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,80.2
Annual employment rate,2022,60 - 64 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,60 - 64 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,60 - 64 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,68.6
Annual employment rate,2022,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,57.0
Annual employment rate,2022,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,64.0
Annual employment rate,2022,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,78.0
Annual employment rate,2022,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,71.2
Annual employment rate,2022,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,66.3
Annual employment rate,2022,60 - 64 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2022,60 - 64 years,Male,Tertiary education (Levels 5-8),Southern,%,67.5
Annual employment rate,2022,60 - 64 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,71.2
Annual employment rate,2022,60 - 64 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,60 - 64 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,60 - 64 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2022,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,50.6
Annual employment rate,2022,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,49.8
Annual employment rate,2022,60 - 64 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2022,60 - 64 years,Female,Tertiary education (Levels 5-8),Southern,%,62.4
Annual employment rate,2022,60 - 64 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,56.2
Annual employment rate,2023,20 - 24 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,20 - 24 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,20 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,71.0
Annual employment rate,2023,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,65.1
Annual employment rate,2023,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,72.3
Annual employment rate,2023,20 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2023,20 - 24 years,Male,Tertiary education (Levels 5-8),Southern,%,
Annual employment rate,2023,20 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,88.9
Annual employment rate,2023,20 - 24 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,20 - 24 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,20 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,67.2
Annual employment rate,2023,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,72.5
Annual employment rate,2023,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,63.8
Annual employment rate,2023,20 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2023,20 - 24 years,Female,Tertiary education (Levels 5-8),Southern,%,71.5
Annual employment rate,2023,20 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,87.9
Annual employment rate,2023,25 - 29 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,25 - 29 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,25 - 29 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2023,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,66.7
Annual employment rate,2023,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,80.3
Annual employment rate,2023,25 - 29 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,91.0
Annual employment rate,2023,25 - 29 years,Male,Tertiary education (Levels 5-8),Southern,%,83.6
Annual employment rate,2023,25 - 29 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,92.5
Annual employment rate,2023,25 - 29 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,25 - 29 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,25 - 29 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2023,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,
Annual employment rate,2023,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,78.6
Annual employment rate,2023,25 - 29 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,66.7
Annual employment rate,2023,25 - 29 years,Female,Tertiary education (Levels 5-8),Southern,%,93.9
Annual employment rate,2023,25 - 29 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,88.5
Annual employment rate,2023,30 - 34 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,30 - 34 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,30 - 34 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2023,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,82.9
Annual employment rate,2023,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,90.9
Annual employment rate,2023,30 - 34 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,87.7
Annual employment rate,2023,30 - 34 years,Male,Tertiary education (Levels 5-8),Southern,%,91.4
Annual employment rate,2023,30 - 34 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,93.7
Annual employment rate,2023,30 - 34 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,30 - 34 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,30 - 34 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2023,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,55.8
Annual employment rate,2023,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,61.1
Annual employment rate,2023,30 - 34 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,89.5
Annual employment rate,2023,30 - 34 years,Female,Tertiary education (Levels 5-8),Southern,%,81.9
Annual employment rate,2023,30 - 34 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,90.9
Annual employment rate,2023,35 - 39 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,35 - 39 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,35 - 39 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,82.0
Annual employment rate,2023,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,84.9
Annual employment rate,2023,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,88.2
Annual employment rate,2023,35 - 39 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,99.3
Annual employment rate,2023,35 - 39 years,Male,Tertiary education (Levels 5-8),Southern,%,99.0
Annual employment rate,2023,35 - 39 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,94.8
Annual employment rate,2023,35 - 39 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,35 - 39 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,35 - 39 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2023,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,61.8
Annual employment rate,2023,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,60.0
Annual employment rate,2023,35 - 39 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,80.5
Annual employment rate,2023,35 - 39 years,Female,Tertiary education (Levels 5-8),Southern,%,93.5
Annual employment rate,2023,35 - 39 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,84.8
Annual employment rate,2023,40 - 44 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,40 - 44 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,40 - 44 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,92.6
Annual employment rate,2023,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,89.6
Annual employment rate,2023,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,90.1
Annual employment rate,2023,40 - 44 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,93.4
Annual employment rate,2023,40 - 44 years,Male,Tertiary education (Levels 5-8),Southern,%,94.3
Annual employment rate,2023,40 - 44 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,96.1
Annual employment rate,2023,40 - 44 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,40 - 44 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,40 - 44 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2023,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,72.8
Annual employment rate,2023,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,77.0
Annual employment rate,2023,40 - 44 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,84.9
Annual employment rate,2023,40 - 44 years,Female,Tertiary education (Levels 5-8),Southern,%,84.5
Annual employment rate,2023,40 - 44 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,90.2
Annual employment rate,2023,45 - 49 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,45 - 49 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,45 - 49 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,90.3
Annual employment rate,2023,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,90.0
Annual employment rate,2023,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,92.4
Annual employment rate,2023,45 - 49 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,84.8
Annual employment rate,2023,45 - 49 years,Male,Tertiary education (Levels 5-8),Southern,%,93.8
Annual employment rate,2023,45 - 49 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,95.4
Annual employment rate,2023,45 - 49 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,45 - 49 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,45 - 49 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,77.8
Annual employment rate,2023,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,74.4
Annual employment rate,2023,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,70.8
Annual employment rate,2023,45 - 49 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,86.2
Annual employment rate,2023,45 - 49 years,Female,Tertiary education (Levels 5-8),Southern,%,78.7
Annual employment rate,2023,45 - 49 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,88.2
Annual employment rate,2023,50 - 54 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,50 - 54 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,50 - 54 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,67.0
Annual employment rate,2023,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,85.4
Annual employment rate,2023,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,81.9
Annual employment rate,2023,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,82.3
Annual employment rate,2023,50 - 54 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,94.5
Annual employment rate,2023,50 - 54 years,Male,Tertiary education (Levels 5-8),Southern,%,95.7
Annual employment rate,2023,50 - 54 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,94.3
Annual employment rate,2023,50 - 54 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,50 - 54 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,50 - 54 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2023,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,76.1
Annual employment rate,2023,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,77.2
Annual employment rate,2023,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.2
Annual employment rate,2023,50 - 54 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,77.6
Annual employment rate,2023,50 - 54 years,Female,Tertiary education (Levels 5-8),Southern,%,84.7
Annual employment rate,2023,50 - 54 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,85.6
Annual employment rate,2023,55 - 59 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,55 - 59 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,55 - 59 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,73.4
Annual employment rate,2023,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,77.6
Annual employment rate,2023,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,82.5
Annual employment rate,2023,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,82.2
Annual employment rate,2023,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,87.8
Annual employment rate,2023,55 - 59 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,87.3
Annual employment rate,2023,55 - 59 years,Male,Tertiary education (Levels 5-8),Southern,%,95.6
Annual employment rate,2023,55 - 59 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,86.6
Annual employment rate,2023,55 - 59 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,55 - 59 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,55 - 59 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2023,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,47.3
Annual employment rate,2023,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,59.2
Annual employment rate,2023,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,59.2
Annual employment rate,2023,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,51.9
Annual employment rate,2023,55 - 59 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,85.6
Annual employment rate,2023,55 - 59 years,Female,Tertiary education (Levels 5-8),Southern,%,73.7
Annual employment rate,2023,55 - 59 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,80.1
Annual employment rate,2023,60 - 64 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,60 - 64 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2023,60 - 64 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2023,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2023,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,70.7
Annual employment rate,2023,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,58.6
Annual employment rate,2023,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,81.3
Annual employment rate,2023,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,85.6
Annual employment rate,2023,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,67.1
Annual employment rate,2023,60 - 64 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2023,60 - 64 years,Male,Tertiary education (Levels 5-8),Southern,%,61.3
Annual employment rate,2023,60 - 64 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,73.3
Annual employment rate,2023,60 - 64 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2023,60 - 64 years,Female,Less than primary (Level 0),Southern,%,
